编号,截图反馈（非必填）,提交时间,问题描述,提交人
1,,2024-06-14 17:40:52,coze建立的agent在使用体验上跟chatgpt的gpts智能体有什么区别？,"[{""id"": ""ou_d90c43a6b084f1ccb6949ce0ef2eee9e"", ""name"": ""访客 88130""}]"
2,,2024-06-14 18:07:51,agent 最多支持多少轮次的对话？ 这个对话量有什么限制？ 如果我做成一个智能客服，一天有太多客户咨询 会不会导致崩溃。有什么解决办法,"[{""id"": ""ou_cbdda9f6cc5337dda6bd05a356b1c2fb"", ""name"": ""黄锐立""}]"
3,"[{""file_token"": ""Z2dRbraHpoHm69xUVAxcREsynpg"", ""name"": ""image.png"", ""size"": 234722}]",2024-06-16 22:43:35,我想发布的多agent bot总提示我“Bot 内容不符合平台规范，无法发布”，试了调名字和prompt，不知道哪里不符合,"[{""id"": ""ou_07e53afe7787794bdc31da02a87921c2"", ""name"": ""孙傲然""}]"
4,"[{""file_token"": ""ApF0bbqMroITEPxrUaKc65Zfncc"", ""name"": ""截屏2024-06-17 10.30.16.png"", ""size"": 122808}, {""file_token"": ""WuYBbem7zo4prWxR3M5clzolnJb"", ""name"": ""截屏2024-06-17 10.32.13.png"", ""size"": 51517}, {""file_token"": ""Hkgrb24cDo1FnixQTvwc4Dolnde"", ""name"": ""截屏2024-06-17 10.32.48.png"", ""size"": 230764}, ",2024-06-17 10:34:15,不太理解coze知识库的召回策略，搜索策略、最大召回量、最小匹配度设置后，召回内容经常不符合预期。 举例: 我在知识库中维护了游戏角色列表，用换行隔开。我需要在工作流中通过知识库确认用户查询的角色是否存在，后面加一个If判断模块，召回不为空就认为存在，就走主线流程，查攻略；召回为空，判断为不存在直接返回消息了。这里判断角色是否存在时，要过滤一些不存在的角色，也要适度考虑用户错别字的情况（LLM有时错别字也会被理解）。 召回总不符合预期，比如查询“波提欧”，严格能匹配的，但是召回内容竟然为空，我这种场景改如何配置，感谢啊。,"[{""id"": ""ou_560baabfd0efe5c5791c50be3c22ee82"", ""name"": ""钮立仁""}]"
5,,2024-06-17 12:32:45,我的工作流中用到了数据库存储，在coze平台上调试所产生的问和答（答案是图片的url），都可以正常存储。但发布到豆包后，在豆包界面中用户输入和生成的图片都正常显示，却进不到数据库中去。原因可能是什么？如何解决呢？谢谢！,"[{""id"": ""ou_c53a692ba22ff322b27429887b1829b7"", ""name"": ""唐闯进""}]"
6,,2024-06-17 17:13:01,测试一下，顺达,"[{""id"": ""ou_42f81f09eb31290df2b37914c257f875"", ""name"": ""孙顺达""}]"
7,"[{""file_token"": ""YfJebBXKnoSUb1xLZbsczw19nwb"", ""name"": ""屏幕截图 2024-06-17 202214.png"", ""size"": 140573}]",2024-06-17 20:32:36,我在看COZE的数据库的介绍内容，我想建一个COZE私人助理，我的工作流想法是 【需求】- 【判断】 1. 增加，删除，修改 一条路线 2. 查询一条路线 （关键词分开） -- 1 号路线去 【LLM】输出SQL的内容进入【数据库】-【数据库】 - 【回复】（指定文字‘好的，已记录’） -- 2 号路线 去【LLM】输出SQL指令查询【数据库】- 【数据库】- 【LLM】（提示词，以表格回复）-- 【回复】 我现在有几个问题： 1， 我这样的工作流考虑对不对？ 2，我怎么让LLM输出一段数据库看得懂的东西， 然后数据库还有一段SQL叫写，怎么写？ ,"[{""id"": ""ou_03d9b4102d8ece4ee338ac6ff2c4214a"", ""name"": ""李桢""}]"
8,,2024-06-18 12:35:07,coze搭建的机器人是否能接入自己开发的app或者微信小程序中，不太清楚是否有人做过相关的开发。想请教下是否有相关的开发思路。,"[{""id"": ""ou_21fc7b1abceff00ff673e762f55f5c5c"", ""name"": ""Evan""}]"
9,,2024-06-19 15:48:52,数据库，单用户模式，字段名不能叫id，是自带吗,"[{""id"": ""ou_13806629129d1dc16681cb08e9c06c4b"", ""name"": ""王招""}]"
10,,2024-06-20 17:01:19,大圣艾木你们好，我有一个工作中关于搭建客服知识库的想法，这个想法种存在一个问题想请教你们： 首先是背景现状：目前我们公司有机器人应答的传统Q和A，但是质量不够高，高质量的Q和A存在在人工客服回电的录音文件中，且每段录音都挂靠在一个工单下，工单本身记录了问题分类、客服对工单内容的简要笔记（用户遇到了什么问题有什么诉求最后怎么解决回应） 说回想法：我想通过把高质量的回电录音转文字（录音中围绕着某1个问题，用户会提更多10个问题，客服都会有高质量的回答），然后把转译的文字作为知识库，传给coze做切割（人工##切割或是智能切割，看哪一个切的准确），然后做成一个能高质量回答用户的客服机器人。 我遇到的,"[{""id"": ""ou_77117e11db929676cce0472572f0d1e3"", ""name"": ""戴赟""}]"
11,,2024-06-22 10:52:47,工作流通过连线不是就已经能说明前后输入输出关系吗？为什么还需要在节点中指定输入和输出？,"[{""id"": ""ou_050ef7bc2752a4feaaa9d4059900df2d"", ""name"": ""乔梁""}]"
12,,2024-06-22 10:53:33,语法问题：对于在 Prompt 框里引用 “知识库” “插件” 或 “变量”，这些被引用的名称是否有规定的语法，例如 {{ }}？,"[{""id"": ""ou_050ef7bc2752a4feaaa9d4059900df2d"", ""name"": ""乔梁""}]"
13,,2024-06-22 10:54:11,我看到很多做得好的 Prompts 都是使用 Markdown 来写的，是否必须使用 markdown？好处是啥？,"[{""id"": ""ou_050ef7bc2752a4feaaa9d4059900df2d"", ""name"": ""乔梁""}]"
14,"[{""file_token"": ""L94vbf9FWo4KyFxfWC9cQ7tSnFd"", ""name"": ""Screenshot 2024-06-22 at 15.00.58.png"", ""size"": 117566}, {""file_token"": ""VN68bpJ7JoIrkNxVFdNcseZEnUd"", ""name"": ""Screenshot 2024-06-22 at 15.01.25.png"", ""size"": 86519}]",2024-06-22 15:41:51,不能登录查看知识库，只有主标题，没有子项目,"[{""id"": ""ou_4e0dff9ef7edfceade9a09cee111ed76"", ""name"": ""王佳哲""}]"
15,,2024-06-23 16:00:59,如何获取在chat界面中上传的文件的链接，以便接入到工作流中,"[{""id"": ""ou_f1b946ca61447a41ff37f20df59f7319"", ""name"": ""郑洪英""}]"
16,"[{""file_token"": ""RaeHbFIzgoNqxyxqEwRcjy7Unfg"", ""name"": ""image.png"", ""size"": 599552}]",2024-06-26 13:51:22,02 课程中 - 第三阶段 | 简单工作流 | 文档总结 该案例中，插件的作用是什么？如果不使用插件呢？ 猜想答案：大模型无法访问链接，我使用chatgpt直接丢链接给它，让其进行总结，反馈：无法访问链接。,"[{""id"": ""ou_87896bb4a88c6e6388a3dfbb93e24295"", ""name"": ""Karen""}]"
17,"[{""file_token"": ""MqvAb3ZLBoe2zPxPxtkcW98Enoc"", ""name"": ""image.png"", ""size"": 109886}]",2024-06-26 17:55:18,我提示词里面限制了不调这个，但是他还是调,"[{""id"": ""ou_13806629129d1dc16681cb08e9c06c4b"", ""name"": ""王招""}]"
18,,2024-06-29 16:36:29,还是不同清楚coze内部和外部。比如，bot外部有prompt，bot的工作流里面也有大模型节点（那也有prompt）。他们两有什么不同的作用吗？,"[{""id"": ""ou_e791d4011272554af3e10d22df6d86ae"", ""name"": ""李宝泳""}]"
19,,2024-07-01 10:00:23,请问是否有办法实现知识库构建时支持视频返回，比如我问某个问题，它可以返回对应的文本和视频,"[{""id"": ""ou_33d0e4bb66bb9df3d02187c448dcf00e"", ""name"": ""张汉庭""}]"
20,"[{""file_token"": ""S65zbFc9WoefbGxd9Clc5aHFnGc"", ""name"": ""image.png"", ""size"": 309160}, {""file_token"": ""UJ2RbFTPLoXbhtxheHQcoy4Nnrd"", ""name"": ""image.png"", ""size"": 1703881}]",2024-07-03 22:38:11,搭建知识库的问题： 1、我想把公众号一百多篇文章放进知识库，试了链接好像没有批量的方式，有什么办法吗？ 2、如果是类似图片里文章结构，有什么方法能直接放进知识库，我用父级链接只有下面的标题，我想把有图文文章加到知识库，且每周会新增一个链接（一篇新资讯），需要怎么弄？有没有除了单篇手动弄的方式（太费事了）。,"[{""id"": ""ou_d587e698e1fd14655c6433f4b337c12e"", ""name"": ""18768166010""}]"
21,"[{""file_token"": ""PWA9bakoMopkixxCReccHedwn1b"", ""name"": ""image.png"", ""size"": 71719}]",2024-07-06 12:16:23,电影票搜索的bot，我复制了大圣的必应搜索后的代码块进行搜索结果处理，我的代码节点运行后最终输出是空的，请问这要怎么解决？,"[{""id"": ""ou_6a0f13072ffb91f83d483d4385502ab5"", ""name"": ""小憬""}]"
22,,2024-07-08 09:55:01,流程中如何实现循环操作，比如我第一个节点接受一大段文字，然后第二个节点把它分成n个段落，第三个节点对读入上一个节点输出的单独的子段落进行处理，处理完成，能否回到第二个节点读取下一个段落再进行处理，直到完成全部子段落的处理？,"[{""id"": ""ou_f1b946ca61447a41ff37f20df59f7319"", ""name"": ""郑洪英""}]"
23,"[{""file_token"": ""TRa7bmaBboF9V3xmTeCcXkUXnvf"", ""name"": ""image.png"", ""size"": 118112}]",2024-07-09 20:31:14,请教一下，我制作工作流之后，加卡片，在卡片的变量界面，我可以增加变量的名称和默认值，但是为什么没有可以找到地方可以将卡片的变量和工作流中的变量建立连接的地方？,"[{""id"": ""ou_fd277007a7afd774b43a53c20b73ea27"", ""name"": ""Cliff Xu 许小舟""}]"
24,"[{""file_token"": ""C4LObJbDzoHZbtxa6tmclcVCnV5"", ""name"": ""image.png"", ""size"": 282352}, {""file_token"": ""BSbobFZeroKbnPxBtUCcousFnFF"", ""name"": ""image.png"", ""size"": 405411}, {""file_token"": ""UpohbE7BboiQcxx95aGcxKkhnDh"", ""name"": ""image.png"", ""size"": 197772}, {""file_token"": ""CtoXb5ReDoOoM8xlBhNcMtuEnIb"", """,2024-07-09 20:41:36,我在工作流中使用大模型调用知识库回答问题，发现两个问题： 1、已经严格要求大模型只能严格基于知识库搜索和给与答案，但是它还是会自己去基于自己的知识去回答。如截图中，我的知识库只有一条 FAQ 的内容和这个问题有关联，但是它能扯出来一堆答案，这个怎么回避？如何让大模型仅仅基于知识库，而不是自己去输出？ 2、大模型输出时，会把我在提示词的位置写的东西也写到输出中去，好奇怪，这个怎么规避？,"[{""id"": ""ou_fd277007a7afd774b43a53c20b73ea27"", ""name"": ""Cliff Xu 许小舟""}]"
25,"[{""file_token"": ""FrBXbrNr6oiNrOxgYQwc5HEQnZF"", ""name"": ""image.png"", ""size"": 429384}]",2024-07-12 17:07:11,输出中多出一行信息：当前时间是：2024 年 07 月 12 日 17 点 04 分 32 秒，星期五 ；如何避免这种情况呢？,"[{""id"": ""ou_43377d4238820a63924b35ecc2e27047"", ""name"": ""张蓉""}]"
26,,2024-07-12 21:55:03,1.为什么有时候调用工作流，有的时候不调用呢？ 2.输出格式不稳定，如何提升呢？ 3.如果有的环节输出结果是 array 格式的数据，但里面部分内容是不可用的，比如调用linkreaderplugin时，有的 content 是不对的，如何在后续环节去掉不合适的数据呢？如何保证某一环节的数据质量呢？,"[{""id"": ""ou_43377d4238820a63924b35ecc2e27047"", ""name"": ""张蓉""}]"
